qsize 7, out_qsize 0
2016-06-15 15:40:03,782: INFO: PROGRESS: at 91.37% examples, 258349 words/s, in_qsize 7, out_qsize 0
2016-06-15 15:40:04,830: INFO: PROGRESS: at 91.41% examples, 258353 words/s, in_qsize 8, out_qsize 0
2016-06-15 15:40:05,889: INFO: PROGRESS: at 91.47% examples, 258357 words/s, in_qsize 8, out_qsize 0
2016-06-15 15:40:06,935: INFO: PROGRESS: at 91.51% examples, 258358 words/s, in_qsize 7, out_qsize 0
2016-06-15 15:40:07,943: INFO: PROGRESS: at 91.56% examples, 258358 words/s, in_qsize 8, out_qsize 0
2016-06-15 15:40:08,953: INFO: PROGRESS: at 91.60% examples, 258354 words/s, in_qsize 8, out_qsize 0
2016-06-15 15:40:09,984: INFO: PROGRESS: at 91.65% examples, 258357 words/s, in_qsize 8, out_qsize 0
2016-06-15 15:40:10,991: INFO: PROGRESS: at 91.70% examples, 258362 words/s, in_qsize 8, out_qsize 0
2016-06-15 15:40:12,011: INFO: PROGRESS: at 91.74% examples, 258359 words/s, in_qsize 6, out_qsize 1
2016-06-15 15:40:13,078: INFO: PROGRESS: at 91.80% examples, 258360 words/s, in_qsize 8, out_qsize 0
2016-06-15 15:40:14,128: INFO: PROGRESS: at 91.84% examples, 258362 words/s, in_qsize 7, out_qsize 0
2016-06-15 15:40:15,139: INFO: PROGRESS: at 91.89% examples, 258365 words/s, in_qsize 7, out_qsize 0
2016-06-15 15:40:16,165: INFO: PROGRESS: at 91.94% examples, 258366 words/s, in_qsize 8, out_qsize 0
2016-06-15 15:40:17,170: INFO: PROGRESS: at 91.98% examples, 258370 words/s, in_qsize 8, out_qsize 0
2016-06-15 15:40:18,180: INFO: PROGRESS: at 92.02% examples, 258373 words/s, in_qsize 7, out_qsize 0
2016-06-15 15:40:19,192: INFO: PROGRESS: at 92.07% examples, 258423 words/s, in_qsize 8, out_qsize 0
2016-06-15 15:40:20,195: INFO: PROGRESS: at 92.11% examples, 258472 words/s, in_qsize 8, out_qsize 0
2016-06-15 15:40:21,253: INFO: PROGRESS: at 92.16% examples, 258492 words/s, in_qsize 7, out_qsize 0
2016-06-15 15:40:22,249: INFO: PROGRESS: at 92.21% examples, 258490 words/s, in_qsize 8, out_qsize 0
2016-06-15 15:40:23,280: INFO: PROGRESS: at 92.25% examples, 258492 words/s, in_qsize 8, out_qsize 0
2016-06-15 15:40:24,280: INFO: PROGRESS: at 92.30% examples, 258493 words/s, in_qsize 8, out_qsize 0
2016-06-15 15:40:25,328: INFO: PROGRESS: at 92.36% examples, 258491 words/s, in_qsize 8, out_qsize 0
2016-06-15 15:40:26,338: INFO: PROGRESS: at 92.41% examples, 258495 words/s, in_qsize 8, out_qsize 0
2016-06-15 15:40:27,352: INFO: PROGRESS: at 92.46% examples, 258495 words/s, in_qsize 7, out_qsize 0
2016-06-15 15:40:28,340: INFO: PROGRESS: at 92.51% examples, 258494 words/s, in_qsize 8, out_qsize 0
